track_id,track_name,artist,artist_id,album,album_cover_url,duration_ms,rank
46YjJXVXWHlQ21odKktg5e,MOJABI GHOST,Tainy,0GM7qgcRCORpGnfcN2tCiB,DATA,https://i.scdn.co/image/ab67616d0000b273f885fb64a381318a1c9c14e4,232131,24
4Ip1jKkFI4TqoymQbqya3a,Get To Me Once - Radio Edit,Matt Early,2Ts0APXD7Kd35zkWGPRE4x,Get To Me Once,https://i.scdn.co/image/ab67616d0000b273566ecdefc83d165dab1c741d,209536,25
4YvoBTTCWFCus0R5pFPN9S,Lady Love,Oden & Fatzo,2YEnrpAWWaNRFumgde1lLH,Lady Love,https://i.scdn.co/image/ab67616d0000b27308184dbf21ea90ffc2485542,174524,26
5tmhUzJuP7XwqCHglyqnt8,Geralt Of Rivia,Marcin Przybyłowicz,07vycW8ICLf5hKb22PFWXw,The Witcher 3: Wild Hunt (Original Game Soundtrack),https://i.scdn.co/image/ab67616d0000b273df756f52b91b4dcd656760b0,141993,27
3jHDoarqvvcmhVENcxnpYk,Pastoral,Jan Valta,3refNRo1fb7DLZi9rGUEo9,Kingdom Come: Deliverance II (Original Soundtrack Essentials),https://i.scdn.co/image/ab67616d0000b27317138be0fd62144b040c2d9b,145000,28
6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny),Drake,3TVXtAsR1Inumwj472S9r4,For All The Dogs,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,133694,29
5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),Rupert Holmes,0TqIPD4IS1w4e30R38B3vj,Partners In Crime,https://i.scdn.co/image/ab67616d0000b273af7afb5c49afd3133fa2a6c9,276493,30
5g7sDjBhZ4I3gcFIpkrLuI,Locked out of Heaven,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,https://i.scdn.co/image/ab67616d0000b27349055dce3554e72e82082980,233653,31
3TwqFJquO8C9oZgH08cE6A,Bellhart,Christopher Larkin,13kMpt8IdcHcdxPLcJrgU2,Hollow Knight: Silksong (Original Soundtrack),https://i.scdn.co/image/ab67616d0000b273e9bb10e381fbd4f78ce2a511,155050,32
53mNFIZypKLnQlQyw3DKAo,Too Late,Shankz,7JP8tEVrVknJlA3isvkQjz,Too Late,https://i.scdn.co/image/ab67616d0000b273b5ddf6e3ad3a0f0886d7f7b0,240000,33
4ACs7pxDMiMbgBSC2xTdJS,Winter (Nocturne of Ice),ConcernedApe,2PqkSKtPxs112KDZdRXGO2,Stardew Valley (Original Game Soundtrack),https://i.scdn.co/image/ab67616d0000b2739f31553286bd249a902b50d4,200000,34
7JJtL9q1iuH6qCpLwUlBJd,I Don't Know - HardTekk - The Dark Triad,Moonshine,2qP5HGgkMImWuXyCfMaF7w,I Don't Know - HardTekk - The Dark Triad,https://i.scdn.co/image/ab67616d0000b2739326377273e9bb945fa20aca,77315,35
7a70wyEZ5XhS8MzTU9kIvn,1.0_2-oneincontrol.aiff,Mac Quayle,3HLApxqtvULlffnRnW88O8,"Mr. Robot, Vol. 1 (Original Television Series Soundtrack)",https://i.scdn.co/image/ab67616d0000b2733f7642827e423f57b5bfc723,279748,36
5tUnbsVhdrdvqDM1vs6Arw,MTG - VINGANÇA (Slowed + Reverb),DJ FKU,3QMpCp3GHiHXgnX1LldXWe,MTG - VINGANÇA (Slowed + Reverb),https://i.scdn.co/image/ab67616d0000b273c2e1b1e008370c7a9cecb05e,84961,37
0xKMPC2v7aCDZs0PBlIUSe,Who Are You,Borislav Slavov,7Fl4F5eJRtPMEl3jTYMUQt,Baldur's Gate 3 (Original Game Soundtrack),https://i.scdn.co/image/ab67616d0000b2736842c99f481b8560a7db0b35,146604,38
2ysTtvmvQg6pfGfHwnSKVg,Dream Member,Cult Member,1pR1W2iWfLwtMK776UeIcF,Ethernet,https://i.scdn.co/image/ab67616d0000b2739b32fad4f3739b0ef2b2645c,234482,39
3Hb9YjZLYBLikxJ1kd4BMa,Spikeroog,Mikolai Stroinski,6lGCmXtqSxze8o2KEfYD6D,The Witcher 3: Wild Hunt (Original Game Soundtrack),https://i.scdn.co/image/ab67616d0000b273df756f52b91b4dcd656760b0,185699,40
4lH6nENd1y81jp7Yt9lTBX,Solo,Future,1RyvyyTE3xzB2ZywiAwp0i,HNDRXX,https://i.scdn.co/image/ab67616d0000b2737567ec7d3c07783e4f2111e0,265996,41
4GrkMMwINEwaVhOiUpT0hq,SOCA SOCA,shonci,0PDEn6fqo7VEhexzDok9Dl,SOCA SOCA (Slowed),https://i.scdn.co/image/ab67616d0000b27312e2bde7b5326b72bc6ddd7b,120000,42
5q0N5SaFhROG9UQiPukv9p,Under Your Spell,Snow Strippers,6TsAG8Ve1icEC8ydeHm3C8,April Mixtape 3,https://i.scdn.co/image/ab67616d0000b27317dbd78819c31da3641cb8ca,218500,43
0WTpcTLD7OmW8EKyRWlaCO,will we be okay?,LÖVI,5Lr3MQJETTq3UnAjbx3n1R,will we be okay?,https://i.scdn.co/image/ab67616d0000b273e37efcc49af14e842f5e8c80,199341,44
2WPzdKRXss6YLPAN4tkOs7,Castle in the Mist,SIE Sound Team,1RjRHE0popjV7rhcHdp376,ICO～霧の中の旋律～,https://i.scdn.co/image/ab67616d0000b273c2ae7f1672fa6530122b0e89,185173,45
7aL0AOx7qXe8tKWJ81cBFx,Bilewater,Christopher Larkin,13kMpt8IdcHcdxPLcJrgU2,Hollow Knight: Silksong (Original Soundtrack),https://i.scdn.co/image/ab67616d0000b273e9bb10e381fbd4f78ce2a511,137759,46
6eUP0njoj3PKwKencyKydG,Dos Caras,mvrk,6WCTfR8dIuTqWrFrzt2yl0,PÓRTATE BIEN!,https://i.scdn.co/image/ab67616d0000b273c007d1483cfe9452be8f7f9a,200125,47
0rCysXbWovjhNa4ZkSzPRl,You're in My System,TORYONTHEBEAT,3AkvEQvJYYQcX20kZ8l7j9,You're in My System,https://i.scdn.co/image/ab67616d0000b2739328d8099e70506c313444b8,215940,48
1ylAagblXaekleEan37UQR,GML (thank fuck it’s the weekend),JACK MARLOW,5qIDbjJ9VyV3eogXzEA6H3,GML (thank fuck it’s the weekend),https://i.scdn.co/image/ab67616d0000b273e135e7324e7558126b297132,137694,49
5pBcAiIOgK12dxBSpKjulg,So Many Times,Gadjo,28ZtvtD63uuc4Lf81lYWmr,So Many Times,https://i.scdn.co/image/ab67616d0000b273ad7fd844fa43442abfa6fbec,241928,50
